Corporate Name,Supervising Authority,Designation Type,Industry,Ghge,Energy,Verification
용산케미칼 주식회사,기후에너지환경부,사업장,기초 화학물질 제조업,113456,958,한국가스안전공사
용인시,기후에너지환경부,업체,폐기물 처리업,191023,1987,㈜한국품질보증원
우림해운(주),해양수산부,사업장,교통(해운),24338,335,(주)한국경영인증원
우지막코리아(주),산업통상자원부,사업장,요업,4201,85,한국표준협회
우진환경개발(주),기후에너지환경부,사업장,폐기물 처리업,67813,771,㈜한국품질보증원
울산과학기술원,기후에너지환경부,사업장,고등 교육기관,37607,786,한국표준협회
울산광역시,기후에너지환경부,업체,폐기물 처리업,315968,3065,㈜한국품질보증원
울산아로마틱스(주),기후에너지환경부,업체,기초 화학물질 제조업,430585,10023,㈜디엔브이비즈니스어슈어런스코리아
울산알루미늄 주식회사,기후에너지환경부,업체,1차 비철금속 제조업,157457,3196,(주)한국경영인증원
울산피피주식회사,기후에너지환경부,사업장,합성고무 및 플라스틱 물질 제조업,49134,1389,(주)한국경영인증원
원강산업(주),산업통상자원부,사업장,기계,21731,451,(주)한국경영인증원
원주시,기후에너지환경부,사업장,"하수, 폐수 및 분뇨 처리업",57836,732,(재)한국화학융합시험연구원
위드인천에너지(주),기후에너지환경부,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",22850,492,㈜디엔브이비즈니스어슈어런스코리아
유니온머티리얼(주),기후에너지환경부,사업장,"내화, 비내화 요업제품 제조업",37845,763,(재)한국품질재단
유니투스 주식회사,기후에너지환경부,업체,자동차 신품 부품 제조업,68712,1426,(재)한국품질재단
유성기업(주),산업통상자원부,사업장,자동차,13596,279,(주)비에스아이그룹코리아
유한킴벌리 주식회사,기후에너지환경부,업체,"펄프, 종이 및 판지 제조업",199589,3999,(재)한국품질재단
유한회사 사조씨피케이,기후에너지환경부,업체,"곡물 가공품, 전분 및 전분제품 제조업",135361,2432,(재)한국품질재단
유한회사 스태츠칩팩코리아,기후에너지환경부,사업장,반도체 제조업,76436,1572,(주)신화엔지니어링종합건축사사무소
유한회사 클라리오스델코,산업통상자원부,사업장,전기전자,52469,1087,(주)한국경영인증원
율촌화학(주),기후에너지환경부,사업장,플라스틱 제품 제조업,81954,1509,(주)한국경영인증원
음성에코파크(주),산업통상자원부,사업장,발전에너지,60857,4,한국표준협회
의료법인 길 의료재단,국토교통부,사업장,건물,21181,435,(재)한국화학융합시험연구원
